company,year,revenue_crore,operating_margin_pct,net_profit_crore,eps_inr,headcount
Infosys,FY21,100472,24.5,19351,46.71,259619
Infosys,FY22,121641,23.0,22110,52.52,314015
Infosys,FY23,146767,21.0,24095,57.63,343234
Infosys,FY24,153670,20.7,26233,63.39,317240
TCS,FY21,164177,26.6,33388,90.19,488649
TCS,FY22,191754,25.0,38327,103.6,556986
TCS,FY23,225458,24.1,42147,114.67,614795
TCS,FY24,240893,24.7,46099,129.0,601546
Wipro,FY21,61943,19.2,10796,1.96,197712
Wipro,FY22,79312,17.8,12229,2.22,236023
Wipro,FY23,90488,16.3,11496,2.09,258096
Wipro,FY24,89763,16.8,11149,2.13,234054
